,Game Date,Game Time,Away Team Abbr.,Away Team Name,Home Team Abbr.,Home Team Name,Away Score Total,Home Score Total,,Team Abbr.,Stadium Latitude,Stadium Longitude,ÆTime | EST = 0
0,4/3/16,17:30:00 GMT,STL,Cardinals,PIT,Pirates,1,4,,ATL,33.890785,-84.467771,0
1,4/3/16,20:00:00 GMT,TOR,Blue Jays,TB,Rays,5,3,,MIA,25.778318,-80.219597,0
2,4/3/16,23:00:00 GMT,NYM,Mets,KC,Royals,3,4,,NYM,40.757088,-73.845821,0
3,4/4/16,18:00:00 GMT,SF,Giants,MIL,Brewers,12,3,,PHI,40.595535,-79.948175,0
4,4/4/16,19:00:00 GMT,MIN,Twins,BAL,Orioles,2,3,,WAS,38.873010,-77.007433,0
5,4/4/16,20:00:00 GMT,SEA,Mariners,TEX,Rangers,2,3,,CHC,41.948438,-87.655333,-1
6,4/4/16,20:00:00 GMT,PHI,Phillies,CIN,Reds,2,6,,CIN,39.097931,-84.508151,0
7,4/4/16,20:00:00 GMT,WAS,Nationals,ATL,Braves,4,3,,MIL,43.027978,-87.971150,-1
8,4/4/16,23:00:00 GMT,LAD,Dodgers,SD,Padres,15,0,,PIT,40.446855,-80.005666,0
9,4/4/16,23:00:00 GMT,TOR,Blue Jays,TB,Rays,5,3,,STL,38.622619,-90.192821,-1
10,4/4/16,01:30:00 GMT,COL,Rockies,ARI,Diamondbacks,10,5,,ARI,33.445526,-112.066664,-3
11,4/4/16,02:00:00 GMT,CHC,Cubs,LAA,Angels,9,0,,COL,39.755882,-104.994178,-2
12,4/4/16,02:00:00 GMT,CWS,White Sox,OAK,Athletics,4,3,,LAD,34.073851,-118.239958,-3
13,4/5/16,17:00:00 GMT,HOU,Astros,NYY,Yankees,5,3,,SD,32.707656,-117.156904,-3
14,4/5/16,17:00:00 GMT,BOS,Red Sox,CLE,Indians,6,2,,SF,37.778595,-122.38927,-3
15,4/5/16,20:00:00 GMT,NYM,Mets,KC,Royals,2,0,,BAL,39.284052,-76.621512,0
16,4/5/16,23:00:00 GMT,STL,Cardinals,PIT,Pirates,5,6,,BOS,42.346676,-71.097218,0
17,4/5/16,23:00:00 GMT,DET,Tigers,MIA,Marlins,8,7,,NYY,40.829643,-73.926175,0
18,4/5/16,23:10:00 GMT,TOR,Blue Jays,TB,Rays,2,3,,TB,27.768225,-82.653392,0
19,4/5/16,00:05:00 GMT,SEA,Mariners,TEX,Rangers,10,2,,TOR,43.641438,-79.389353,0
20,4/5/16,00:10:00 GMT,SF,Giants,MIL,Brewers,2,1,,CWS,41.830000,-87.633889,-1
21,4/5/16,01:40:00 GMT,COL,Rockies,ARI,Diamondbacks,6,11,,CLE,41.496211,-81.685229,0
22,4/5/16,02:05:00 GMT,CHC,Cubs,LAA,Angels,6,1,,DET,42.338998,-83.048520,0
23,4/5/16,02:05:00 GMT,CWS,White Sox,OAK,Athletics,5,4,,KC,39.051672,-94.480314,-1
24,4/5/16,02:10:00 GMT,LAD,Dodgers,SD,Padres,3,0,,MIN,44.981766,-93.277514,-1
25,4/6/16,17:10:00 GMT,TOR,Blue Jays,TB,Rays,3,5,,HOU,29.757269,-95.355514,-1
26,4/6/16,17:40:00 GMT,SF,Giants,MIL,Brewers,3,4,,LAA,33.800308,-117.882732,-3
27,4/6/16,18:05:00 GMT,SEA,Mariners,TEX,Rangers,9,5,,OAK,37.751595,-122.200546,-3
28,4/6/16,19:40:00 GMT,COL,Rockies,ARI,Diamondbacks,4,3,,SEA,47.591391,-122.332327,-3
29,4/6/16,20:55:00 GMT,DET,Tigers,MIA,Marlins,8,3,,TEX,32.747361,-97.084167,-1
30,4/6/16,22:10:00 GMT,BOS,Red Sox,CLE,Indians,6,7,,,,,
31,4/6/16,23:05:00 GMT,MIN,Twins,BAL,Orioles,2,4,,,,,
32,4/6/16,23:05:00 GMT,STL,Cardinals,PIT,Pirates,1,5,,,,,
33,4/6/16,23:05:00 GMT,HOU,Astros,NYY,Yankees,6,16,,,,,
34,4/6/16,23:10:00 GMT,WAS,Nationals,ATL,Braves,3,1,,,,,
35,4/6/16,23:10:00 GMT,PHI,Phillies,CIN,Reds,2,3,,,,,
36,4/6/16,01:10:00 GMT,LAD,Dodgers,SD,Padres,7,0,,,,,
37,4/6/16,02:05:00 GMT,CWS,White Sox,OAK,Athletics,1,2,,,,,
38,4/7/16,17:35:00 GMT,PHI,Phillies,CIN,Reds,6,10,,,,,
39,4/7/16,19:35:00 GMT,CWS,White Sox,OAK,Athletics,6,1,,,,,
40,4/7/16,20:05:00 GMT,HOU,Astros,NYY,Yankees,5,8,,,,,
41,4/7/16,20:05:00 GMT,MIA,Marlins,WAS,Nationals,6,4,,,,,
42,4/7/16,20:35:00 GMT,LAD,Dodgers,SF,Giants,6,12,,,,,
43,4/7/16,23:05:00 GMT,MIN,Twins,BAL,Orioles,2,4,,,,,
44,4/7/16,01:40:00 GMT,CHC,Cubs,ARI,Diamondbacks,14,6,,,,,
45,4/7/16,02:05:00 GMT,TEX,Rangers,LAA,Angels,3,4,,,,,
46,4/8/16,17:10:00 GMT,PHI,Phillies,NYM,Mets,2,7,,,,,
47,4/8/16,17:10:00 GMT,NYY,Yankees,DET,Tigers,0,5,,,,,
